# Taskr #209 - the EXTRACTION endpoint round trip measured from a phone, 2026-09-08.
#
# Device      Samsung SM-S918U, Android 16, curl 8.15.0-DEV in `adb shell` over USB.
#             No browser, so nothing here is attributable to one or to a service worker.
# Function    extract-description, deployment v2, ezbr_sha256
#             46499420bb93ab3e9988b20485db12a9e648eaaaa3600a496bc2cf86aa57787a,
#             deployed 2026-09-08T01:47:25.642Z by this story.
# Analysis    docs/hosting-decision.md, section "Measured 2026-09-08".
#
# #205 measured the same path with `provision-member`, which refuses at its first
# authorization check - so it timed everything EXCEPT the endpoint own work and the
# provider call. This measures the whole thing, keeping #205 method so the two are
# comparable. Each cycle fires three calls seconds apart on one network:
#
#   level 1  no Authorization header       the GATEWAY refuses. Nothing boots.
#   level 2  publishable key only          the function boots and refuses.
#   level 3  real session + own household   the full extraction, provider included.
#
# So 3 minus 2 is the endpoint own work plus the provider, as a per-sample
# subtraction rather than an estimate, and 2 minus 1 is the boot. Levels are
# classified from the body that came back, never from which call was meant to be
# sent: 0 of 252 came back mislabelled.
#
# Networks    wifi  = first pass, on a DEGRADED link - read its level 1 control before
#                     reading anything else in it (p95 3698 ms against the other passes
#                     571 and 1403). Kept rather than discarded: it is a real evening.
#             cellular = wifi switched off for the pass and switched back on after, because
#                     `curl --interface rmnet_dataN` binds but has no route from the adb
#                     shell UID on this build ("Network is unreachable"), so #205 method of
#                     reaching both networks without touching device state did not reproduce.
#             wifi2 = second wifi pass, after the link settled.
#             The public egress address differed between the wifi and cellular passes
#             (sha256 a39562036a08 against 850410d5a84e), which is the control that the two
#             really are two networks. The addresses themselves are this household broadband
#             and cellular IPs and this repo is public, so no address column exists at all -
#             #205 carried one and redacted it; this one was never collected.
#
# Each pass ran against its OWN fixture household, created through the seeded test
# account and deleted afterwards with the absence read back. 84 level-3 calls in all,
# 28 per household, inside the 60-per-household-per-hour bound in handler.ts RATE_LIMIT.
#
# Times are seconds as curl reports them. The body column is truncated at 140 bytes.
# There are exactly three distinct bodies across all 252 rows.
#
i	ts_utc	network	level	http	dns_s	connect_s	appconnect_s	starttransfer_s	total_s	body
5	2026-09-08T01:58:53Z	wifi	2	401	0.007016	0.032012	0.148899	0.413746	0.414950	{"error":"Sign in first."}
5	2026-09-08T01:58:54Z	wifi	3	200	0.005388	0.061594	0.117634	1.405515	1.406319	{"kind":"capacity","minutesByPerson":{"Placeholder Organizer":90}}
6	2026-09-08T01:58:55Z	wifi	1	401	0.007054	0.154183	0.287581	0.438269	0.438598	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
6	2026-09-08T01:58:55Z	wifi	2	401	0.006768	0.057568	0.162527	0.571385	0.571995	{"error":"Sign in first."}
6	2026-09-08T01:58:57Z	wifi	3	200	0.007013	0.047861	0.157454	1.388666	1.388949	{"kind":"capacity","minutesByPerson":{"Placeholder Organizer":90}}
7	2026-09-08T01:58:57Z	wifi	1	401	0.008078	0.051114	0.155690	0.289555	0.289941	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
7	2026-09-08T01:58:58Z	wifi	2	401	0.008006	0.107915	0.219277	0.532280	0.532951	{"error":"Sign in first."}
7	2026-09-08T01:59:00Z	wifi	3	200	0.005800	0.346104	0.462207	1.714960	1.715565	{"kind":"capacity","minutesByPerson":{"Placeholder Organizer":90}}
8	2026-09-08T01:59:00Z	wifi	1	401	0.007831	0.039650	0.164658	0.442159	0.442506	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
8	2026-09-08T01:59:01Z	wifi	2	401	0.006873	0.044096	0.087534	0.566938	0.567313	{"error":"Sign in first."}
8	2026-09-08T01:59:02Z	wifi	3	200	0.008505	0.118948	0.165313	1.485461	1.485812	{"kind":"capacity","minutesByPerson":{"Placeholder Organizer":90}}
9	2026-09-08T01:59:03Z	wifi	1	401	0.005021	0.058649	0.122261	0.283540	0.285736	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
9	2026-09-08T01:59:03Z	wifi	2	401	0.004293	0.111177	0.167450	0.423133	0.423601	{"error":"Sign in first."}
9	2026-09-08T01:59:05Z	wifi	3	200	0.008749	0.041986	0.150128	1.417122	1.417823	{"kind":"capacity","minutesByPerson":{"Placeholder Organizer":90}}
10	2026-09-08T01:59:05Z	wifi	1	401	0.008304	0.126602	0.229910	0.419591	0.420279	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
10	2026-09-08T01:59:06Z	wifi	2	401	0.005981	0.054993	0.120457	0.342373	0.342988	{"error":"Sign in first."}
10	2026-09-08T01:59:07Z	wifi	3	200	0.007211	0.039427	0.089181	1.266561	1.267168	{"kind":"capacity","minutesByPerson":{"Placeholder Organizer":90}}
11	2026-09-08T01:59:07Z	wifi	1	401	0.006962	0.043673	0.167825	0.284351	0.284878	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
11	2026-09-08T01:59:08Z	wifi	2	401	0.007678	0.059420	0.181900	0.551273	0.551758	{"error":"Sign in first."}
11	2026-09-08T01:59:09Z	wifi	3	200	0.006109	0.061756	0.120231	1.402985	1.403323	{"kind":"capacity","minutesByPerson":{"Placeholder Organizer":90}}
12	2026-09-08T01:59:10Z	wifi	1	401	0.006269	0.045870	0.168139	0.314088	0.314606	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
12	2026-09-08T01:59:10Z	wifi	2	401	0.006417	0.117992	0.184667	0.478778	0.479137	{"error":"Sign in first."}
12	2026-09-08T01:59:27Z	wifi	3	200	0.009397	0.117930	14.178479	16.786653	16.787315	{"kind":"capacity","minutesByPerson":{"Placeholder Organizer":90}}
13	2026-09-08T01:59:31Z	wifi	1	401	0.772025	1.173322	2.553271	3.697395	3.697784	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
13	2026-09-08T01:59:32Z	wifi	2	401	0.228107	0.536709	0.759669	1.377321	1.377736	{"error":"Sign in first."}
13	2026-09-08T01:59:34Z	wifi	3	200	0.006893	0.357001	0.570640	1.925913	1.926788	{"kind":"capacity","minutesByPerson":{"Placeholder Organizer":90}}
14	2026-09-08T01:59:35Z	wifi	1	401	0.007106	0.234092	0.339576	0.746331	0.746799	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
14	2026-09-08T01:59:36Z	wifi	2	401	0.007595	0.175701	0.234970	0.977643	0.978138	{"error":"Sign in first."}
14	2026-09-08T01:59:39Z	wifi	3	200	0.007991	0.353985	0.777237	2.450511	2.559092	{"kind":"capacity","minutesByPerson":{"Placeholder Organizer":90}}
15	2026-09-08T01:59:40Z	wifi	1	401	0.006087	0.055742	0.176723	0.763151	0.763455	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
15	2026-09-08T01:59:40Z	wifi	2	401	0.007397	0.144008	0.208397	0.754663	0.755281	{"error":"Sign in first."}
15	2026-09-08T01:59:43Z	wifi	3	200	0.006621	0.656990	0.890942	2.658068	2.658705	{"kind":"capacity","minutesByPerson":{"Placeholder Organizer":90}}
16	2026-09-08T01:59:50Z	wifi	1	401	0.008000	4.728866	5.573718	7.025893	7.026212	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
16	2026-09-08T01:59:53Z	wifi	2	401	0.006097	0.555499	2.451170	2.946239	2.946907	{"error":"Sign in first."}
16	2026-09-08T01:59:55Z	wifi	3	200	0.005184	0.108744	0.361753	1.926281	1.926767	{"kind":"capacity","minutesByPerson":{"Placeholder Organizer":90}}
17	2026-09-08T01:59:56Z	wifi	1	401	0.006702	0.087687	0.197713	0.444951	0.445310	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
17	2026-09-08T01:59:56Z	wifi	2	401	0.003353	0.043002	0.163411	0.490075	0.490411	{"error":"Sign in first."}
17	2026-09-08T01:59:58Z	wifi	3	200	0.006896	0.210962	0.362316	1.584332	1.584818	{"kind":"capacity","minutesByPerson":{"Placeholder Organizer":90}}
18	2026-09-08T01:59:59Z	wifi	1	401	0.130163	0.239467	0.486541	0.618200	0.618587	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
18	2026-09-08T01:59:59Z	wifi	2	401	0.054451	0.169783	0.389247	0.695496	0.695836	{"error":"Sign in first."}
18	2026-09-08T02:00:05Z	wifi	3	200	0.870061	1.610937	1.821625	5.058021	5.058726	{"kind":"capacity","minutesByPerson":{"Placeholder Organizer":90}}
19	2026-09-08T02:00:07Z	wifi	1	401	0.006791	1.490469	1.699705	1.841981	1.842269	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
19	2026-09-08T02:00:07Z	wifi	2	401	0.007897	0.098149	0.419481	0.721411	0.721957	{"error":"Sign in first."}
19	2026-09-08T02:00:09Z	wifi	3	200	0.008119	0.304701	0.675381	1.970921	1.971567	{"kind":"capacity","minutesByPerson":{"Placeholder Organizer":90}}
20	2026-09-08T02:00:10Z	wifi	1	401	0.005884	0.099857	0.330230	0.565427	0.565714	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
20	2026-09-08T02:00:10Z	wifi	2	401	0.003414	0.032470	0.093574	0.394820	0.395075	{"error":"Sign in first."}
20	2026-09-08T02:00:12Z	wifi	3	200	0.004527	0.093623	0.219063	1.655136	1.655969	{"kind":"capacity","minutesByPerson":{"Placeholder Organizer":90}}
21	2026-09-08T02:00:14Z	wifi	1	401	0.006892	0.139975	1.194446	1.403790	1.404071	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
21	2026-09-08T02:00:14Z	wifi	2	401	0.007421	0.133646	0.228784	0.743817	0.744287	{"error":"Sign in first."}
21	2026-09-08T02:00:17Z	wifi	3	200	0.008127	0.257538	0.312676	2.060397	2.061008	{"kind":"capacity","minutesByPerson":{"Placeholder Organizer":90}}
22	2026-09-08T02:00:17Z	wifi	1	401	0.003581	0.153418	0.744681	0.860694	0.861344	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
22	2026-09-08T02:00:18Z	wifi	2	401	0.008269	0.152309	0.276398	0.598512	0.598907	{"error":"Sign in first."}
22	2026-09-08T02:00:20Z	wifi	3	200	0.004392	0.173670	0.625312	2.190242	2.190585	{"kind":"capacity","minutesByPerson":{"Placeholder Organizer":90}}
23	2026-09-08T02:00:22Z	wifi	1	401	0.006971	0.254169	0.670867	1.287306	1.287553	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
23	2026-09-08T02:00:22Z	wifi	2	401	0.006998	0.116241	0.237799	0.659500	0.659779	{"error":"Sign in first."}
23	2026-09-08T02:00:24Z	wifi	3	200	0.003444	0.082932	0.213291	1.522948	1.523406	{"kind":"capacity","minutesByPerson":{"Placeholder Organizer":90}}
24	2026-09-08T02:00:25Z	wifi	1	401	0.006251	0.147560	0.566030	0.731677	0.732160	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
24	2026-09-08T02:00:25Z	wifi	2	401	0.006575	0.137315	0.258529	0.581831	0.582189	{"error":"Sign in first."}
24	2026-09-08T02:00:27Z	wifi	3	200	0.007242	0.053111	0.160567	1.303372	1.303853	{"kind":"capacity","minutesByPerson":{"Placeholder Organizer":90}}
25	2026-09-08T02:00:27Z	wifi	1	401	0.007697	0.119403	0.160117	0.310992	0.311470	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
25	2026-09-08T02:00:28Z	wifi	2	401	0.005526	0.264362	0.317125	0.575116	0.580223	{"error":"Sign in first."}
25	2026-09-08T02:00:30Z	wifi	3	200	0.007125	0.047027	0.269337	1.817529	1.817970	{"kind":"capacity","minutesByPerson":{"Placeholder Organizer":90}}
26	2026-09-08T02:00:30Z	wifi	1	401	0.036574	0.138842	0.251548	0.440334	0.440705	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
26	2026-09-08T02:00:31Z	wifi	2	401	0.043940	0.083161	0.164583	0.582608	0.586152	{"error":"Sign in first."}
26	2026-09-08T02:00:32Z	wifi	3	200	0.005643	0.034645	0.073530	1.412220	1.412787	{"kind":"capacity","minutesByPerson":{"Placeholder Organizer":90}}
27	2026-09-08T02:00:33Z	wifi	1	401	0.009944	0.032725	0.066658	0.257360	0.261786	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
27	2026-09-08T02:00:33Z	wifi	2	401	0.007004	0.056932	0.161227	0.554796	0.555185	{"error":"Sign in first."}
27	2026-09-08T02:00:35Z	wifi	3	200	0.008258	0.120765	0.351360	1.700193	1.700747	{"kind":"capacity","minutesByPerson":{"Placeholder Organizer":90}}
28	2026-09-08T02:00:36Z	wifi	1	401	0.009726	0.048618	0.167648	0.544524	0.544930	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
28	2026-09-08T02:00:37Z	wifi	2	401	0.006250	0.441730	0.497963	0.754883	0.755368	{"error":"Sign in first."}
28	2026-09-08T02:00:38Z	wifi	3	200	0.008650	0.053375	0.120407	1.402349	1.402704	{"kind":"capacity","minutesByPerson":{"Placeholder Organizer":90}}
1	2026-09-08T02:04:04Z	cellular	1	401	0.061186	0.095843	0.163913	0.503842	0.505099	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
1	2026-09-08T02:04:05Z	cellular	2	401	0.004013	0.042237	0.106890	0.562496	0.562838	{"error":"Sign in first."}
1	2026-09-08T02:04:07Z	cellular	3	200	0.002932	0.045893	0.127335	1.685451	1.686250	{"kind":"capacity","minutesByPerson":{"Placeholder Organizer":90}}
2	2026-09-08T02:04:07Z	cellular	1	401	0.008737	0.048594	0.109608	0.237201	0.237489	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
2	2026-09-08T02:04:08Z	cellular	2	401	0.005049	0.043259	0.111461	0.434757	0.435212	{"error":"Sign in first."}
2	2026-09-08T02:04:09Z	cellular	3	200	0.008854	0.047645	0.113502	1.365961	1.366365	{"kind":"capacity","minutesByPerson":{"Placeholder Organizer":90}}
3	2026-09-08T02:04:09Z	cellular	1	401	0.003488	0.039575	0.097844	0.418421	0.418945	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
3	2026-09-08T02:04:10Z	cellular	2	401	0.006547	0.054128	0.112498	0.424364	0.424713	{"error":"Sign in first."}
3	2026-09-08T02:04:11Z	cellular	3	200	0.006167	0.042686	0.098085	1.363609	1.364177	{"kind":"capacity","minutesByPerson":{"Placeholder Organizer":90}}
4	2026-09-08T02:04:12Z	cellular	1	401	0.008015	0.056084	0.131848	0.415875	0.416618	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
4	2026-09-08T02:04:12Z	cellular	2	401	0.008658	0.042589	0.104441	0.401386	0.401661	{"error":"Sign in first."}
4	2026-09-08T02:04:14Z	cellular	3	200	0.004415	0.049451	0.102216	1.384333	1.384596	{"kind":"capacity","minutesByPerson":{"Placeholder Organizer":90}}
5	2026-09-08T02:04:14Z	cellular	1	401	0.004910	0.062337	0.133397	0.410971	0.411724	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
5	2026-09-08T02:04:15Z	cellular	2	401	0.004882	0.046991	0.109507	0.410690	0.411678	{"error":"Sign in first."}
5	2026-09-08T02:04:16Z	cellular	3	200	0.007668	0.064561	0.136500	1.691615	1.692193	{"kind":"capacity","minutesByPerson":{"Placeholder Organizer":90}}
6	2026-09-08T02:04:17Z	cellular	1	401	0.006149	0.038368	0.092599	0.238989	0.239413	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
6	2026-09-08T02:04:17Z	cellular	2	401	0.005725	0.048278	0.104503	0.410680	0.411318	{"error":"Sign in first."}
6	2026-09-08T02:04:19Z	cellular	3	200	0.006709	0.051048	0.112026	1.363953	1.364926	{"kind":"capacity","minutesByPerson":{"Placeholder Organizer":90}}
7	2026-09-08T02:04:19Z	cellular	1	401	0.006985	0.033729	0.102519	0.397846	0.398557	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
7	2026-09-08T02:04:20Z	cellular	2	401	0.006624	0.049544	0.109160	0.411918	0.412394	{"error":"Sign in first."}
7	2026-09-08T02:04:21Z	cellular	3	200	0.005639	0.048650	0.102144	1.210255	1.210775	{"kind":"capacity","minutesByPerson":{"Placeholder Organizer":90}}
8	2026-09-08T02:04:21Z	cellular	1	401	0.005067	0.045800	0.106024	0.403366	0.404616	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
8	2026-09-08T02:04:22Z	cellular	2	401	0.005323	0.047146	0.104291	0.410213	0.410699	{"error":"Sign in first."}
8	2026-09-08T02:04:24Z	cellular	3	200	0.003477	0.031990	0.089016	1.551082	1.551637	{"kind":"capacity","minutesByPerson":{"Placeholder Organizer":90}}
9	2026-09-08T02:04:24Z	cellular	1	401	0.006158	0.054021	0.095958	0.259547	0.259861	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
9	2026-09-08T02:04:24Z	cellular	2	401	0.001936	0.033805	0.082071	0.436245	0.436682	{"error":"Sign in first."}
9	2026-09-08T02:04:26Z	cellular	3	200	0.003837	0.042950	0.107385	1.384915	1.385577	{"kind":"capacity","minutesByPerson":{"Placeholder Organizer":90}}
10	2026-09-08T02:04:26Z	cellular	1	401	0.006920	0.048036	0.103762	0.407188	0.407628	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
10	2026-09-08T02:04:27Z	cellular	2	401	0.007405	0.049022	0.108080	0.412768	0.413394	{"error":"Sign in first."}
10	2026-09-08T02:04:28Z	cellular	3	200	0.006471	0.047575	0.105715	1.530967	1.531344	{"kind":"capacity","minutesByPerson":{"Placeholder Organizer":90}}
11	2026-09-08T02:04:29Z	cellular	1	401	0.004127	0.039240	0.086809	0.261583	0.262042	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
11	2026-09-08T02:04:29Z	cellular	2	401	0.003367	0.047025	0.105302	0.417186	0.417798	{"error":"Sign in first."}
11	2026-09-08T02:04:31Z	cellular	3	200	0.007212	0.057381	0.129579	1.530513	1.531038	{"kind":"capacity","minutesByPerson":{"Placeholder Organizer":90}}
12	2026-09-08T02:04:31Z	cellular	1	401	0.005827	0.044275	0.098253	0.249578	0.250023	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
12	2026-09-08T02:04:32Z	cellular	2	401	0.005854	0.048141	0.099386	0.408843	0.409457	{"error":"Sign in first."}
12	2026-09-08T02:04:33Z	cellular	3	200	0.006109	0.037661	0.102540	1.358944	1.359592	{"kind":"capacity","minutesByPerson":{"Placeholder Organizer":90}}
13	2026-09-08T02:04:33Z	cellular	1	401	0.006657	0.047756	0.121012	0.407190	0.407664	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
13	2026-09-08T02:04:34Z	cellular	2	401	0.007902	0.047265	0.105654	0.399869	0.400547	{"error":"Sign in first."}
13	2026-09-08T02:04:36Z	cellular	3	200	0.062651	0.097166	0.150849	1.519623	1.520226	{"kind":"capacity","minutesByPerson":{"Placeholder Organizer":90}}
14	2026-09-08T02:04:36Z	cellular	1	401	0.005091	0.044203	0.107260	0.218630	0.219008	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
14	2026-09-08T02:04:36Z	cellular	2	401	0.006017	0.038244	0.098510	0.436564	0.437061	{"error":"Sign in first."}
14	2026-09-08T02:04:38Z	cellular	3	200	0.007814	0.047341	0.099043	1.371930	1.372453	{"kind":"capacity","minutesByPerson":{"Placeholder Organizer":90}}
15	2026-09-08T02:04:38Z	cellular	1	401	0.005864	0.046638	0.089686	0.234139	0.234995	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
15	2026-09-08T02:04:38Z	cellular	2	401	0.005974	0.053502	0.107204	0.380705	0.381121	{"error":"Sign in first."}
15	2026-09-08T02:04:40Z	cellular	3	200	0.007867	0.052179	0.116800	1.427442	1.427977	{"kind":"capacity","minutesByPerson":{"Placeholder Organizer":90}}
16	2026-09-08T02:04:40Z	cellular	1	401	0.008582	0.054890	0.105130	0.411873	0.412289	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
16	2026-09-08T02:04:41Z	cellular	2	401	0.007824	0.053006	0.106665	0.410788	0.411155	{"error":"Sign in first."}
16	2026-09-08T02:04:43Z	cellular	3	200	0.007716	0.047921	0.097998	1.720215	1.720819	{"kind":"capacity","minutesByPerson":{"Placeholder Organizer":90}}
17	2026-09-08T02:04:43Z	cellular	1	401	0.006274	0.047965	0.123802	0.385955	0.386352	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
17	2026-09-08T02:04:44Z	cellular	2	401	0.006373	0.056191	0.166890	0.407829	0.408391	{"error":"Sign in first."}
17	2026-09-08T02:04:45Z	cellular	3	200	0.005444	0.039238	0.104671	1.463048	1.463573	{"kind":"capacity","minutesByPerson":{"Placeholder Organizer":90}}
18	2026-09-08T02:04:46Z	cellular	1	401	0.006761	0.047310	0.110495	0.243445	0.243814	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
18	2026-09-08T02:04:46Z	cellular	2	401	0.005097	0.048892	0.110332	0.481670	0.482097	{"error":"Sign in first."}
18	2026-09-08T02:04:48Z	cellular	3	200	0.006905	0.047274	0.106940	1.385260	1.386485	{"kind":"capacity","minutesByPerson":{"Placeholder Organizer":90}}
19	2026-09-08T02:04:48Z	cellular	1	401	0.008839	0.056826	0.136620	0.275337	0.275722	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
19	2026-09-08T02:04:48Z	cellular	2	401	0.008290	0.040501	0.115263	0.529245	0.529903	{"error":"Sign in first."}
19	2026-09-08T02:04:50Z	cellular	3	200	0.006539	0.056486	0.115592	1.532327	1.532944	{"kind":"capacity","minutesByPerson":{"Placeholder Organizer":90}}
20	2026-09-08T02:04:51Z	cellular	1	401	0.005639	0.046882	0.104970	0.408987	0.409376	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
20	2026-09-08T02:04:51Z	cellular	2	401	0.007730	0.049595	0.111464	0.408429	0.408849	{"error":"Sign in first."}
20	2026-09-08T02:04:52Z	cellular	3	200	0.007539	0.032450	0.076566	1.371020	1.371836	{"kind":"capacity","minutesByPerson":{"Placeholder Organizer":90}}
21	2026-09-08T02:04:53Z	cellular	1	401	0.007102	0.050839	0.111720	0.416308	0.416820	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
21	2026-09-08T02:04:53Z	cellular	2	401	0.006230	0.045408	0.112504	0.398451	0.398873	{"error":"Sign in first."}
21	2026-09-08T02:04:55Z	cellular	3	200	0.004377	0.055094	0.122098	1.529408	1.529686	{"kind":"capacity","minutesByPerson":{"Placeholder Organizer":90}}
22	2026-09-08T02:04:55Z	cellular	1	401	0.003471	0.039717	0.104105	0.256848	0.257531	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
22	2026-09-08T02:04:56Z	cellular	2	401	0.006242	0.048438	0.106830	0.410193	0.410531	{"error":"Sign in first."}
